serial,setting,dataset_name,method,acc,acc_std,acc_max,acc_min,ada_ratio,acc_mean_std_latex,acc_mean_std
24,fz_448,cub,hivit_base_patch16_siglip_224.v2_webli_fz,43.64,2.12,45.090607538778265,37.949341742453726,4.856052459199275,43.64\pm{2.12},43.64+-2.12
24,fz_448,cub,hivit_base_patch16_224.mae_fz,24.42,4.67,30.14858068588607,15.197958597092471,19.102954262456766,24.42\pm{4.67},24.42+-4.67
24,fz_448,cub,hiresnet50.tv_in1k_fz,50.6,3.5,52.63110485225133,41.22777100091178,6.90954825940995,50.6\pm{3.5},50.6+-3.5
24,fz_448,cub,hiresnet50.tv2_in1k_fz,40.77,2.56,42.229425411918086,33.71505348987206,6.284300236420479,40.77\pm{2.56},40.77+-2.56
24,fz_448,cub,hiresnet50.gluon_in1k_fz,46.85,2.95,48.413525738262,38.75151791866019,6.28825519226677,46.85\pm{2.95},46.85+-2.95
24,fz_448,cub,hiresnet50.a1_in1k_fz,35.84,3.54,37.92871317629035,26.51657780338776,9.881410892638433,35.84\pm{3.54},35.84+-3.54
24,fz_448,cub,hiresnet50.in21k_miil_fz,64.96,3.06,66.92388196609488,56.65058096918504,4.711652626670006,64.96\pm{3.06},64.96+-3.06
24,fz_448,cub,hiresnet50.fb_swsl_ig1b_ft_in1k_fz,61.62,3.45,63.54471654287234,52.08252251607996,5.604243821209479,61.62\pm{3.45},61.62+-3.45
24,fz_448,cub,hiresnet50.fb_ssl_yfcc100m_ft_in1k_fz,60.23,3.25,62.14032375846974,51.44344953633859,5.390927034801148,60.23\pm{3.25},60.23+-3.25
24,fz_448,cub,hiresnet50.in1k_mocov3_fz,43.7,2.83,45.53281523543382,36.10432278480142,6.48157574483267,43.7\pm{2.83},43.7+-2.83
24,fz_448,cub,hiresnet50.in1k_supcon_fz,44.37,2.81,46.23831219822127,36.853346022193584,6.338505880427103,44.37\pm{2.81},44.37+-2.81
24,fz_448,cub,hiresnet50.in1k_swav_fz,36.95,2.54,38.27162870781287,29.949996355619977,6.88578737905364,36.95\pm{2.54},36.95+-2.54
24,fz_448,cub,hiresnet50.in1k_spark_fz,19.33,1.32,20.306210436129145,15.988170204924176,6.836652845705074,19.33\pm{1.32},19.33+-1.32
24,fz_448,all,hivit_base_patch16_224.orig_in21k_fz,56.89,20.48,85.65345109035724,33.89779817459908,36.00517640722885,56.89\pm{20.48},56.89+-20.48
24,fz_448,all,hideit_base_patch16_224.fb_in1k_fz,57.83,9.55,71.76176206461692,41.37563756375638,16.52190581725049,57.83\pm{9.55},57.83+-9.55
24,fz_448,all,hivit_base_patch16_224_miil.in21k_fz,29.89,10.17,41.40015705215039,12.547826535347806,34.03262345954873,29.89\pm{10.17},29.89+-10.17
24,fz_448,all,hideit3_base_patch16_224.fb_in22k_ft_in1k_fz,67.15,12.41,84.57464584189992,47.548754875487546,18.480958555512693,67.15\pm{12.41},67.15+-12.41
24,fz_448,all,hideit3_base_patch16_224.fb_in1k_fz,60.7,9.61,74.03331100864061,41.88868886888689,15.837972209599993,60.7\pm{9.61},60.7+-9.61
24,fz_448,all,hivit_base_patch16_224.in1k_mocov3_fz,57.01,7.76,67.94114532549814,38.67769146538624,13.609806277999661,57.01\pm{7.76},57.01+-7.76
