serial,setting,dataset_name,method,n_cluster_ratio,extractor_layer,model_name_extractor,acc_mean,acc_std,acc_max,lr_acc_max,acc_min,ada_ratio,cva,acc_mean_std_latex,acc_mean_std
40,,aircraft_pl,hiresnet50.a1_in1k,70,-1,hiresnet50.a1_in1k,89.0429,2.6436,91.74917491749174,0.0005,83.67836783678368,2.9688499157146984,-7.900962067771821,89.0429\pm{2.6436},89.0429+-2.6436
40,,cars_pl,hiresnet50.a1_in1k,25,-1,hiresnet50.a1_in1k,91.2523,1.4332,92.86158438005224,0.0001,88.40940181569457,1.570554452480572,-4.283797135684663,91.2523\pm{1.4332},91.2523+-1.4332
40,,cars_pl,hiresnet50.a1_in1k,50,-1,hiresnet50.a1_in1k,91.4948,1.3604,93.01081954980724,0.0001,88.63325457032707,1.4868999689087343,-4.066441196029773,91.4948\pm{1.3604},91.4948+-1.3604
40,,cars_pl,hiresnet50.a1_in1k,70,-1,hiresnet50.a1_in1k,91.6249,1.3514,92.998383285661,0.0001,89.01877875886083,1.4749559684858093,-4.0395297736632765,91.6249\pm{1.3514},91.6249+-1.3514
40,,cub_pl,hiresnet50.a1_in1k,25,-1,hiresnet50.a1_in1k,83.476,1.98,85.41594753192959,0.0001,79.84121505005177,2.3719171022879553,-5.916226077644324,83.476\pm{1.98},83.476+-1.98
40,,cub_pl,hiresnet50.a1_in1k,50,-1,hiresnet50.a1_in1k,82.6251,2.3907,85.15705902657922,5e-06,78.04625474628926,2.893438642515401,-7.143187884879979,82.6251\pm{2.3907},82.6251+-2.3907
40,,cub_pl,hiresnet50.a1_in1k,70,-1,hiresnet50.a1_in1k,83.1049,2.0547,84.98446668967898,5e-05,79.53054884363134,2.4724573972230703,-6.139477849242547,83.1049\pm{2.0547},83.1049+-2.0547
40,,aircraft_pl,hiresnet50.tv2_in1k,25,-1,hiresnet50.tv2_in1k,91.6112,0.9763,92.61926192619262,0.0001,89.94899489948995,1.0657383856013578,-2.918348544672506,91.6112\pm{0.9763},91.6112+-0.9763
40,,aircraft_pl,hiresnet50.tv2_in1k,50,-1,hiresnet50.tv2_in1k,91.5362,0.9127,92.82928292829284,0.03,90.06900690069007,0.9971135000644372,-2.7281869004148303,91.5362\pm{0.9127},91.5362+-0.9127
40,,aircraft_pl,hiresnet50.tv2_in1k,70,-1,hiresnet50.tv2_in1k,91.5722,1.0486,93.009300930093,0.03,89.43894389438944,1.1450807796982363,-3.134274707699855,91.5722\pm{1.0486},91.5722+-1.0486
40,,cars_pl,hiresnet50.tv2_in1k,25,-1,hiresnet50.tv2_in1k,92.8765,0.7622,93.93110309662976,0.03,91.77962939932844,0.8206241287820146,-2.278294860031608,92.8765\pm{0.7622},92.8765+-0.7622
40,,cars_pl,hiresnet50.tv2_in1k,50,-1,hiresnet50.tv2_in1k,92.7907,0.8145,94.16739211540852,0.03,91.69257555030468,0.877793192972927,-2.434753351764675,92.7907\pm{0.8145},92.7907+-0.8145
40,,cars_pl,hiresnet50.tv2_in1k,70,-1,hiresnet50.tv2_in1k,92.9163,0.8059,94.03059320979978,0.01,91.82937445591344,0.8672963159448766,-2.4089060798515765,92.9163\pm{0.8059},92.9163+-0.8059
40,,cub_pl,hiresnet50.tv2_in1k,25,-1,hiresnet50.tv2_in1k,83.5934,1.9788,86.36520538488091,0.03,79.39247497411115,2.3672268013176354,-5.912861882574588,83.5934\pm{1.9788},83.5934+-1.9788
40,,cub_pl,hiresnet50.tv2_in1k,50,-1,hiresnet50.tv2_in1k,83.7142,2.132,86.86572316189161,0.03,79.73765964791163,2.5467395486191142,-6.370479535799009,83.7142\pm{2.132},83.7142+-2.132
40,,cub_pl,hiresnet50.tv2_in1k,70,-1,hiresnet50.tv2_in1k,83.7642,2.214,86.77942699344149,0.03,79.30617880566103,2.6431703169866405,-6.615662790840107,83.7642\pm{2.214},83.7642+-2.214
40,,aircraft_pl,hiresnet50.fb_swsl_ig1b_ft_in1k,25,-1,hiresnet50.fb_swsl_ig1b_ft_in1k,91.2781,1.5392,93.06930693069307,0.03,88.5088508850885,1.686255918886113,-4.600685939485506,91.2781\pm{1.5392},91.2781+-1.5392
40,,aircraft_pl,hiresnet50.fb_swsl_ig1b_ft_in1k,50,-1,hiresnet50.fb_swsl_ig1b_ft_in1k,91.5032,1.5578,93.54935493549355,0.01,88.62886288628863,1.7024917029712112,-4.656475709182349,91.5032\pm{1.5578},91.5032+-1.5578
40,,aircraft_pl,hiresnet50.fb_swsl_ig1b_ft_in1k,70,-1,hiresnet50.fb_swsl_ig1b_ft_in1k,91.2571,1.7513,93.33933393339332,0.03,87.36873687368737,1.9190835442442107,-5.23471061205818,91.2571\pm{1.7513},91.2571+-1.7513
40,,cars_pl,hiresnet50.fb_swsl_ig1b_ft_in1k,25,-1,hiresnet50.fb_swsl_ig1b_ft_in1k,90.5086,4.518,94.29175475687104,0.03,80.238776271608,4.991833459819652,-13.504203871797326,90.5086\pm{4.518},90.5086+-4.518
40,,cars_pl,hiresnet50.fb_swsl_ig1b_ft_in1k,50,-1,hiresnet50.fb_swsl_ig1b_ft_in1k,91.2983,3.2708,94.14251958711604,0.03,84.66608630767317,3.582590028094458,-9.776710416066468,91.2983\pm{3.2708},91.2983+-3.2708
40,,cars_pl,hiresnet50.fb_swsl_ig1b_ft_in1k,70,-1,hiresnet50.fb_swsl_ig1b_ft_in1k,90.9899,3.8153,94.26688222857854,0.03,82.99962691207561,4.19312899687448,-11.404043702805335,90.9899\pm{3.8153},90.9899+-3.8153
