serial,setting,dataset_name,method,seed,n_cluster_ratio,extractor_layer,model_name_extractor,acc_mean,acc_std,acc_max,lr_acc_max,acc_min,ada_ratio,cva,acc_mean_std_latex,acc_mean_std
54,,soylocal,hiresnet50.in1k_mocov3,0,30.0,-1.0,hiresnet50.in1k_mocov3,50.05,2.2567,53.0,0.01,46.66666666666666,4.50898245304029,-6.725147328709593,50.05\pm{2.2567},50.05+-2.2567
54,,soylocal,hiresnet50.in1k_mocov3,0,40.0,-1.0,hiresnet50.in1k_mocov3,51.0667,2.2377,53.833333333333336,0.03,46.16666666666666,4.381965491792557,-6.669351478508272,51.0667\pm{2.2377},51.0667+-2.2377
54,,soylocal,hiresnet50.in1k_mocov3,0,50.0,-1.0,hiresnet50.in1k_mocov3,51.0667,3.0441,56.16666666666666,0.03,45.5,5.961070525760246,-9.072749340207093,51.0667\pm{3.0441},51.0667+-3.0441
54,,soylocal,hiresnet50.in1k_mocov3,0,70.0,-1.0,hiresnet50.in1k_mocov3,52.2167,2.344,55.333333333333336,0.03,49.16666666666666,4.488906406689164,-6.986982822011683,52.2167\pm{2.344},52.2167+-2.344
54,,soylocal,hiresnet50.in1k_mocov3,0,90.0,-1.0,hiresnet50.in1k_mocov3,50.7333,2.593,54.833333333333336,0.03,47.16666666666666,5.110965052256994,-7.727779159012575,50.7333\pm{2.593},50.7333+-2.593
54,,soylocal,hiresnet50.in1k_spark,0,10.0,-1.0,hiresnet50.in1k_spark,27.8,19.1859,50.5,5e-05,1.8333333333333333,69.01391366445007,-56.86746485950685,27.8\pm{19.1859},27.8+-19.1859
54,,soylocal,hiresnet50.in1k_spark,0,20.0,-1.0,hiresnet50.in1k_spark,29.8,17.5025,51.333333333333336,5e-05,2.0,58.73329484613035,-51.920232643979226,29.8\pm{17.5025},29.8+-17.5025
54,,soylocal,hiresnet50.in1k_spark,0,30.0,-1.0,hiresnet50.in1k_spark,25.7667,19.2785,49.16666666666666,1e-05,1.1666666666666667,74.81965166111459,-57.08739421743043,25.7667\pm{19.2785},25.7667+-19.2785
54,,soylocal,hiresnet50.in1k_spark,0,40.0,-1.0,hiresnet50.in1k_spark,35.5,14.9053,53.833333333333336,5e-06,2.0,41.9866375874392,-44.29590265474835,35.5\pm{14.9053},35.5+-14.9053
54,,soylocal,hiresnet50.in1k_spark,0,50.0,-1.0,hiresnet50.in1k_spark,32.3667,17.1897,51.16666666666666,1e-05,1.0,53.10932574088403,-51.03806203698954,32.3667\pm{17.1897},32.3667+-17.1897
